Strategy,CAGR,Vol,Sharpe
Momentum 3M,0.09080340355094352,0.11497132713689275,0.6493875263005368
Momentum 6M,0.09537004917786751,0.11789290005378386,0.6715012158062301
Momentum 12M,0.10197076793606685,0.12587643607195803,0.6806281893415165
Buy-and-Hold SPY,0.1407641868049938,0.14425152845934142,0.8591909764485495
